CMDLINE /Library/Frameworks/Python.framework/Versions/3.12/bin/python3.12 chapter2.py
MEM 113.984375 1729507191.0848
MEM 114.015625 1729507191.1898
MEM 114.031250 1729507191.2948
MEM 114.031250 1729507191.3998
MEM 114.062500 1729507191.5049
MEM 114.078125 1729507191.6099
MEM 114.109375 1729507191.7149
MEM 114.109375 1729507191.8200
MEM 114.125000 1729507191.9250
MEM 114.156250 1729507192.0300
MEM 114.156250 1729507192.1350
MEM 114.171875 1729507192.2401
MEM 114.203125 1729507192.3451
MEM 114.203125 1729507192.4501
MEM 114.218750 1729507192.5552
MEM 114.250000 1729507192.6602
MEM 114.250000 1729507192.7652
MEM 114.250000 1729507192.8703
MEM 114.296875 1729507192.9753
MEM 114.296875 1729507193.0803
MEM 114.296875 1729507193.1854
MEM 114.343750 1729507193.2904
MEM 114.343750 1729507193.3954
MEM 114.343750 1729507193.5004
MEM 114.390625 1729507193.6055
MEM 114.390625 1729507193.7105
MEM 114.390625 1729507193.8155
MEM 114.437500 1729507193.9205
MEM 114.437500 1729507194.0256
MEM 114.437500 1729507194.1306
MEM 114.484375 1729507194.2356
MEM 114.484375 1729507194.3407
MEM 114.484375 1729507194.4457
MEM 114.515625 1729507194.5507
MEM 114.531250 1729507194.6557
MEM 114.531250 1729507194.7608
MEM 114.531250 1729507194.8658
MEM 114.578125 1729507194.9708
MEM 114.578125 1729507195.0758
MEM 114.578125 1729507195.1809
MEM 114.625000 1729507195.2859
MEM 114.625000 1729507195.3909
MEM 114.625000 1729507195.4959
MEM 114.640625 1729507195.6010
MEM 114.671875 1729507195.7060
MEM 114.671875 1729507195.8110
MEM 114.687500 1729507195.9161
MEM 114.718750 1729507196.0211
MEM 114.718750 1729507196.1227
MEM 114.718750 1729507196.2277
MEM 114.734375 1729507196.3327
MEM 114.765625 1729507196.4378
MEM 114.765625 1729507196.5393
MEM 114.781250 1729507196.6444
MEM 114.781250 1729507196.7494
MEM 114.812500 1729507196.8544
MEM 114.828125 1729507196.9560
MEM 114.828125 1729507197.0611
MEM 114.828125 1729507197.1661
MEM 114.843750 1729507197.2711
MEM 114.875000 1729507197.3761
MEM 114.875000 1729507197.4812
MEM 114.890625 1729507197.5862
MEM 114.890625 1729507197.6912
MEM 114.921875 1729507197.7962
MEM 114.937500 1729507197.9013
MEM 114.937500 1729507198.0063
MEM 114.937500 1729507198.1114
MEM 114.984375 1729507198.2164
MEM 114.984375 1729507198.3214
MEM 114.984375 1729507198.4264
MEM 114.984375 1729507198.5315
MEM 115.031250 1729507198.6365
MEM 115.031250 1729507198.7415
MEM 115.031250 1729507198.8466
MEM 115.046875 1729507198.9516
MEM 115.078125 1729507199.0566
MEM 115.078125 1729507199.1617
MEM 115.093750 1729507199.2626
MEM 115.093750 1729507199.3677
MEM 115.093750 1729507199.4727
MEM 115.140625 1729507199.5777
MEM 115.140625 1729507199.6828
MEM 115.140625 1729507199.7878
MEM 115.156250 1729507199.8928
MEM 115.187500 1729507199.9979
MEM 115.187500 1729507200.1029
MEM 115.203125 1729507200.2080
MEM 115.203125 1729507200.3130
MEM 115.203125 1729507200.4181
MEM 115.250000 1729507200.5227
MEM 115.250000 1729507200.6279
MEM 115.250000 1729507200.7329
MEM 115.265625 1729507200.8380
MEM 115.265625 1729507200.9430
MEM 115.296875 1729507201.0481
MEM 115.296875 1729507201.1531
MEM 115.312500 1729507201.2582
MEM 115.312500 1729507201.3632
MEM 115.343750 1729507201.4682
MEM 115.359375 1729507201.5728
MEM 115.359375 1729507201.6779
MEM 115.359375 1729507201.7830
MEM 115.375000 1729507201.8881
